save,physical_time_s,physical_time_us,metric,units,C1_value,C2_value,C2_minus_C1,relative_difference,classification,note
1,5e-08,0.049999999999999996,runtime_t_step_at_save,unavailable: run_time.inf time/dt are precision-limited to zero,nan,nan,nan,nan,unavailable,per-save timestep/dt unavailable from precision-limited run_time.inf
1,5e-08,0.049999999999999996,runtime_dt_s_at_save,unavailable: run_time.inf time/dt are precision-limited to zero,nan,nan,nan,nan,unavailable,per-save timestep/dt unavailable from precision-limited run_time.inf
1,5e-08,0.049999999999999996,valid_gas_Tmax,K,2148.964025097545,2148.702750635164,-0.2612744623806975,-0.00012158158970057112,small-to-moderate,
1,5e-08,0.049999999999999996,valid_gas_T999,K,1356.6716388220154,1356.6666143817456,-0.005024440269835395,-3.70350505314467e-06,small,
1,5e-08,0.049999999999999996,valid_gas_T95,K,1269.1067491828453,1269.1067491828453,0.0,0.0,roundoff-level,
1,5e-08,0.049999999999999996,valid_gas_Tmean,K,723.8738332268051,723.873547480645,-0.00028574616010246245,-3.947458065015207e-07,small,
1,5e-08,0.049999999999999996,valid_gas_cell_count,cells,41047.0,41047.0,0.0,0.0,roundoff-level,
1,5e-08,0.049999999999999996,vaporized_fuel_mass_proxy_vapor_alpha_rho_integral,kg/m-depth proxy,7.45973735069601e-09,7.459721787571162e-09,-1.5563124847476228e-14,-2.0862832182723102e-06,roundoff-level,
1,5e-08,0.049999999999999996,liquid_alpha_area,m2,7.867854819284907e-09,7.867854819284907e-09,0.0,0.0,roundoff-level,
1,5e-08,0.049999999999999996,equivalent_diameter_m,m,0.00010008828047353331,0.00010008828047353331,0.0,0.0,roundoff-level,
1,5e-08,0.049999999999999996,D2_m2,m2,1.0017663888148669e-08,1.0017663888148669e-08,0.0,0.0,roundoff-level,
1,5e-08,0.049999999999999996,liquid_centroid_x,m,0.0005023515047281643,0.0005023515066410253,1.9128610371024757e-12,3.807813889474812e-09,small,
1,5e-08,0.049999999999999996,liquid_centroid_y,m,0.0003023255813953038,0.00030232558139530385,5.421010862427522e-20,1.793103592957063e-16,roundoff-level,
1,5e-08,0.049999999999999996,liquid_streamwise_extent_m,m,9.813084112000002e-05,9.813084112000002e-05,0.0,0.0,roundoff-level,
1,5e-08,0.049999999999999996,liquid_cross_stream_extent_m,m,9.302325581e-05,9.302325581e-05,0.0,0.0,roundoff-level,
1,5e-08,0.049999999999999996,negative_rhoY_count,count,0.0,0.0,0.0,nan,roundoff-level,
1,5e-08,0.049999999999999996,negative_Y_count,count,0.0,0.0,0.0,nan,roundoff-level,
1,5e-08,0.049999999999999996,Y_above_one_count,count,0.0,0.0,0.0,nan,roundoff-level,
1,5e-08,0.049999999999999996,sumY_violation_count,count,0.0,0.0,0.0,nan,roundoff-level,
